2020-01-28 11:56:50,842 p=13818 u=root n=ansible | [WARNING]: provided hosts list is empty, only localhost is available. Note that the implicit localhost does not match 'all'

2020-01-28 11:56:51,298 p=13818 u=root n=ansible | PLAY [127.0.0.1] *******************************************************************************************************************************************************
2020-01-28 11:56:51,324 p=13818 u=root n=ansible | TASK [Gathering Facts] *************************************************************************************************************************************************
2020-01-28 11:56:52,538 p=13818 u=root n=ansible | ok: [127.0.0.1]
2020-01-28 11:56:52,544 p=13818 u=root n=ansible | PLAY [127.0.0.1] *******************************************************************************************************************************************************
2020-01-28 11:56:52,558 p=13818 u=root n=ansible | TASK [Gathering Facts] *************************************************************************************************************************************************
2020-01-28 11:56:53,119 p=13818 u=root n=ansible | ok: [127.0.0.1]
2020-01-28 11:56:53,131 p=13818 u=root n=ansible | TASK [uninstall_pgsql_client : include_tasks] **************************************************************************************************************************
2020-01-28 11:56:53,155 p=13818 u=root n=ansible | included: /root/python_sql_scripts/ansible/roles/uninstall_pgsql_client/tasks/pgsql_client_uninstallation.yml for 127.0.0.1
2020-01-28 11:56:53,169 p=13818 u=root n=ansible | TASK [uninstall_pgsql_client : Step1 - Un-Installing RPMs] *************************************************************************************************************
2020-01-28 11:56:56,403 p=13818 u=root n=ansible | changed: [127.0.0.1]
2020-01-28 11:56:56,405 p=13818 u=root n=ansible | PLAY RECAP *************************************************************************************************************************************************************
2020-01-28 11:56:56,405 p=13818 u=root n=ansible | 127.0.0.1                  : ok=4    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2020-01-28 11:57:03,362 p=13959 u=root n=ansible | [WARNING]: provided hosts list is empty, only localhost is available. Note that the implicit localhost does not match 'all'

2020-01-28 11:57:03,758 p=13959 u=root n=ansible | PLAY [127.0.0.1] *******************************************************************************************************************************************************
2020-01-28 11:57:03,777 p=13959 u=root n=ansible | TASK [Gathering Facts] *************************************************************************************************************************************************
2020-01-28 11:57:04,786 p=13959 u=root n=ansible | ok: [127.0.0.1]
